engine_id,cycle,setting1,setting2,sensor_2,sensor_3,sensor_4,sensor_7,RUL,failure_imminent
1,1,-0.0007,-0.0004,641.82,1589.7,1400.6,554.36,191,0
1,2,0.0019,-0.0003,642.15,1591.82,1403.14,553.75,190,0
1,3,-0.0043,0.0003,642.35,1587.99,1404.2,554.26,189,0
1,4,0.0007,0.0,642.35,1582.79,1401.87,554.45,188,0
1,5,-0.0019,-0.0002,642.37,1582.85,1406.22,554.0,187,0
1,6,-0.0043,-0.0001,642.1,1584.47,1398.37,554.67,186,0
1,7,0.001,0.0001,642.48,1592.32,1397.77,554.34,185,0
1,8,-0.0034,0.0003,642.56,1582.96,1400.97,553.85,184,0
1,9,0.0008,0.0001,642.12,1590.98,1394.8,553.69,183,0
1,10,-0.0033,0.0001,641.71,1591.24,1400.46,553.59,182,0
1,11,0.0018,-0.0003,642.28,1581.75,1400.64,554.54,181,0
1,12,0.0016,0.0002,642.06,1583.41,1400.15,554.52,180,0
1,13,-0.0019,0.0004,643.07,1582.19,1400.83,553.44,179,0
1,14,0.0009,-0.0,642.35,1592.95,1399.16,554.48,178,0
1,15,-0.0018,-0.0003,642.43,1583.82,1402.13,553.64,177,0
1,16,0.0006,0.0005,642.13,1587.98,1404.5,553.94,176,0
1,17,0.0002,0.0002,642.58,1584.96,1399.95,553.8,175,0
1,18,-0.0031,-0.0001,642.62,1591.04,1396.12,554.2,174,0
1,19,0.0032,-0.0003,641.79,1587.56,1400.35,554.18,173,0
1,20,-0.0037,0.0001,643.04,1581.11,1405.23,554.81,172,0
1,21,-0.0012,0.0001,642.37,1586.07,1398.13,554.08,171,0
1,22,0.0002,0.0,642.77,1592.93,1400.57,553.63,170,0
1,23,0.0034,-0.0003,642.14,1588.19,1394.75,553.98,169,0
1,24,-0.001,0.0003,642.38,1590.83,1398.81,553.49,168,0
1,25,0.0023,-0.0004,642.77,1594.1,1399.39,554.0,167,0
1,26,0.0,0.0002,642.16,1589.08,1396.07,554.11,166,0
1,27,-0.0012,-0.0004,642.44,1590.47,1401.84,554.07,165,0
1,28,-0.0024,0.0005,642.35,1582.84,1399.13,554.68,164,0
1,29,0.0012,-0.0001,641.91,1584.83,1400.99,554.25,163,0
1,30,-0.0022,0.0,642.2,1593.52,1396.08,554.37,162,0
1,31,0.0014,0.0005,642.02,1584.18,1396.9,554.13,161,0
1,32,0.0005,-0.0003,642.33,1591.38,1400.36,554.96,160,0
1,33,-0.0042,-0.0004,642.71,1588.4,1402.43,554.61,159,0
1,34,0.0015,-0.0001,642.54,1581.47,1400.48,554.3,158,0
1,35,0.0003,0.0002,642.44,1590.0,1403.0,554.3,157,0
